phase,scope,category,dso,symbol,metadata_join,pgcm_function_ids,samples,period
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::string::js_string_from_builder_bytes,no_pgcm_function_at_start,,1,5200189
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::closure::registry::closure_is_arrow,no_pgcm_function_at_start,,1,5199905
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::string::compare::js_string_key_matches_bytes,no_pgcm_function_at_start,,1,5199433
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::class_registry::dispatch::obj_dispatch_ic_lookup,no_pgcm_function_at_start,,1,5198140
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::object::shapes::shapes_slot_list::SlotIndex>::insert,no_pgcm_function_at_start,,1,5198114
command,main_thread,runtime_export_prefix_only,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_string_intern,no_pgcm_function_at_start,,1,5197863
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_jsvalue_to_string,no_pgcm_function_at_start,,1,5197135
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__SS_,exact_start_and_symbol,66:142,1,5196066
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_eh_personality,no_pgcm_function_at_start,,1,5195493
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::spill::overflow_get,no_pgcm_function_at_start,,1,5195450
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_array_note_numeric_write,no_pgcm_function_at_start,,1,5195165
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::json::stringify_scalars::write_escaped_string,no_pgcm_function_at_start,,1,5194912
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::roots::runtime_handles::RuntimeHandleScope>::root_string_ptr,no_pgcm_function_at_start,,1,5194899
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"<alloc::vec::Vec<(i64, i64)> as alloc::vec::spec_from_iter_nested::SpecFromIterNested<(i64, i64), core::iter::adapters::filter::Filter<core::iter::adapters::map::Map<core::ops::range::Range<usize>, perry_runtime::proxy::put_value::js_put_value_set_dyn_ic_miss::{closure#1}>, perry_runtime::proxy::put_value::js_put_value_set_dyn_ic_miss::{closure#2}>>>::from_iter",no_pgcm_function_at_start,,1,5194785
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::side_table_roots::scan_transition_cache_slot,no_pgcm_function_at_start,,1,5194172
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::barrier::write_barrier_decoded_parent,no_pgcm_function_at_start,,1,5193978
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::malloc::ensure_set_built,no_pgcm_function_at_start,,1,5191515
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::closure::registry::dispatch_rest_bundled,no_pgcm_function_at_start,,1,5191296
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::field_get_set::temporal_subclass_cell,no_pgcm_function_at_start,,1,5190680
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,mi_zalloc_aligned,no_pgcm_function_at_start,,1,5189346
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::barrier::leaf::decode_raw_pointer_candidate,no_pgcm_function_at_start,,1,5189221
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"<hashbrown::map::HashMap<usize, std::collections::hash::map::HashMap<perry_runtime::map::MapPtrKey, u32, perry_runtime::fast_hash::PtrHasher>, perry_runtime::fast_hash::PtrHasher>>::insert",no_pgcm_function_at_start,,1,5188771
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::arena::page_meta::classify_heap_space_in_range_uncached,no_pgcm_function_at_start,,1,5188317
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__E,exact_start_and_symbol,83:74,1,5188054
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,mi_theap_umalloc,no_pgcm_function_at_start,,1,5187454
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<url::parser::Parser>::parse_host,no_pgcm_function_at_start,,1,5187175
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,_mi_page_free_collect,no_pgcm_function_at_start,,1,5186595
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"<hashbrown::raw::RawTable<(usize, perry_runtime::closure::registry::ClosureBodyRecord)>>::reserve_rehash::<hashbrown::map::make_hasher<usize, perry_runtime::closure::registry::ClosureBodyRecord, perry_runtime::fast_hash::PtrHasher>::{closure#0}>",no_pgcm_function_at_start,,1,5186498
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"<hashbrown::raw::RawTable<(usize, alloc::vec::Vec<perry_runtime::typedarray_props::TypedArrayOwnProp>)>>::reserve_rehash::<hashbrown::map::make_hasher<usize, alloc::vec::Vec<perry_runtime::typedarray_props::TypedArrayOwnProp>, perry_runtime::fast_hash::PtrHasher>::{closure#0}>",no_pgcm_function_at_start,,1,5185933
